,Join_Count_x,TARGET_FID,buildingP,Shape_Length_x,Shape_Area_x,grid_code,Count,Shape_Length_y,Shape_Area_y
0,0,1,,0.7829114259999415,0.038277736561021,300879,0,0.7829114259999415,0.038277736561021
1,5,2,14607.021484375,0.7829114259999415,0.038277736561021,349385,0,0.7829114259999415,0.038277736561021
2,4769,3,1594242.5,0.7829114259999415,0.038277736561021,282835,0,0.7829114259999415,0.038277736561021
3,2412,4,231917.84375,0.7829114259999415,0.038277736561021,103385,0,0.7829114259999415,0.038277736561021
4,356,5,49790.171875,0.7829114259999415,0.038277736561021,43704,0,0.7829114259999415,0.038277736561021
5,269,6,15932.07421875,0.7829114259999415,0.038277736561021,10096,0,0.7829114259999415,0.038277736561021
6,1661,7,477476.65625,0.7829114260000551,0.038277736561031804,262251,0,0.7829114260000551,0.038277736561031804
7,1457,8,1027977.625,0.7829114260000551,0.038277736561031804,300891,0,0.7829114260000551,0.038277736561031804
8,9159,9,2515608.0,0.7829114260000551,0.038277736561031804,270260,0,0.7829114260000551,0.038277736561031804
9,21296,10,4530986.0,0.7829114260000551,0.038277736561031804,272257,0,0.7829114260000551,0.038277736561031804
10,10322,11,2744568.0,0.7829114260000551,0.038277736561031804,331897,0,0.7829114260000551,0.038277736561031804
11,2278,12,853149.6875,0.7829114260000551,0.038277736561031804,152250,0,0.7829114260000551,0.038277736561031804
12,777,13,154038.96875,0.7829114279999203,0.03827773675112037,181155,0,0.7829114279999203,0.03827773675112037
13,15371,14,2711094.25,0.7829114279999203,0.03827773675112037,263662,0,0.7829114279999203,0.03827773675112037
14,100237,15,14035369.0,0.7829114279999203,0.03827773675112037,105440,0,0.7829114279999203,0.03827773675112037
15,212622,16,28113514.0,0.7829114279999203,0.03827773675112037,65660,0,0.7829114279999203,0.03827773675112037
16,47958,17,4596904.5,0.7829114279999203,0.03827773675112037,232253,0,0.7829114279999203,0.03827773675112037
17,54,18,17194.423828125,0.7829114279999203,0.03827773675112037,9177,0,0.7829114279999203,0.03827773675112037
18,0,19,,0.7829114260000551,0.038277736561031804,131692,0,0.7829114260000551,0.038277736561031804
19,12821,20,1599402.375,0.7829114260000551,0.038277736561031804,224517,0,0.7829114260000551,0.038277736561031804
20,51899,21,5538282.0,0.7829114260000551,0.038277736561031804,172861,0,0.7829114260000551,0.038277736561031804
21,110256,22,13527500.0,0.7829114260000551,0.038277736561031804,18192,0,0.7829114260000551,0.038277736561031804
22,17148,23,1489987.75,0.7829114260000551,0.038277736561031804,18306,0,0.7829114260000551,0.038277736561031804
23,551,24,256222.765625,0.7829114260000551,0.038277736561031804,9200,0,0.7829114260000551,0.038277736561031804
24,0,25,,0.7829114259999415,0.038277736561021,309126,0,0.7829114259999415,0.038277736561021
25,0,26,,0.7829114259999415,0.038277736561021,311075,0,0.7829114259999415,0.038277736561021
26,3376,27,559571.0625,0.7829114259999415,0.038277736561021,78860,0,0.7829114259999415,0.038277736561021
27,1410,28,259263.34375,0.7829114259999415,0.038277736561021,184936,0,0.7829114259999415,0.038277736561021
28,9,29,363071.375,0.7829114259999415,0.038277736561021,195284,0,0.7829114259999415,0.038277736561021
29,142,30,73040.5625,0.7829114259999415,0.038277736561021,60826,0,0.7829114259999415,0.038277736561021
30,0,31,,0.782911428000034,0.03827773675113117,135251,0,0.782911428000034,0.03827773675113117
31,0,32,,0.782911428000034,0.03827773675113117,108472,0,0.782911428000034,0.03827773675113117
32,132,33,195362.421875,0.782911428000034,0.03827773675113117,235187,0,0.782911428000034,0.03827773675113117
33,2221,34,319975.1875,0.782911428000034,0.03827773675113117,210450,0,0.782911428000034,0.03827773675113117
34,0,35,,0.782911428000034,0.03827773675113117,313843,0,0.782911428000034,0.03827773675113117
35,0,36,,0.782911428000034,0.03827773675113117,149776,0,0.782911428000034,0.03827773675113117
