,Join_Count_x,TARGET_FID,buildingP,Shape_Length_x,Shape_Area_x,grid_code,Count,Shape_Length_y,Shape_Area_y
0,3123,1,1520061.25,1.5658228519999966,0.1531109462441056,1213406,0,1.5658228519999966,0.1531109462441056
1,37636,2,8872755.0,1.5658228519999966,0.1531109462441056,928737,0,1.5658228519999966,0.1531109462441056
2,13225,3,3663440.0,1.5658228519999966,0.1531109462441056,537947,0,1.5658228519999966,0.1531109462441056
3,28969,4,4464535.5,1.5658228539999755,0.15311094662430433,801025,0,1.5658228539999755,0.15311094662430433
4,475014,5,61214664.0,1.5658228539999755,0.15311094662430433,362153,0,1.5658228539999755,0.15311094662430433
5,65711,6,6360309.5,1.5658228539999755,0.15311094662430433,268936,0,1.5658228539999755,0.15311094662430433
6,0,7,,1.5658228539999755,0.15311094662430433,863924,0,1.5658228539999755,0.15311094662430433
7,7139,8,1334172.0,1.5658228539999755,0.15311094662430433,709433,0,1.5658228539999755,0.15311094662430433
8,151,9,436111.9375,1.5658228539999755,0.15311094662430433,719729,0,1.5658228539999755,0.15311094662430433
