,Join_Count_x,TARGET_FID,buildingP,Shape_Length_x,Shape_Area_x,grid_code,Count,Shape_Length_y,Shape_Area_y
0,0,1,,0.521940951999909,0.017012327447440613,148550,0,0.521940951999909,0.017012327447440613
1,0,2,,0.521940951999909,0.017012327447440613,135159,0,0.521940951999909,0.017012327447440613
2,2,3,13971.53515625,0.5219409499999301,0.01701232731320581,158621,0,0.5219409499999301,0.01701232731320581
3,3146,4,973883.75,0.521940951999909,0.017012327447440613,119534,0,0.521940951999909,0.017012327447440613
4,1284,5,313305.625,0.521940951999909,0.017012327447440613,44030,0,0.521940951999909,0.017012327447440613
5,11,6,1275.9539794921875,0.5219409499999301,0.01701232731320581,255,0,0.5219409499999301,0.01701232731320581
6,0,7,,0.521940951999909,0.017012327447440613,0,0,0.521940951999909,0.017012327447440613
7,0,8,,0.521940951999909,0.017012327447440613,0,0,0.521940951999909,0.017012327447440613
8,0,9,,0.5219409499999301,0.01701232731320581,0,0,0.5219409499999301,0.01701232731320581
9,0,10,,0.5219409500000438,0.017012327320714907,115649,0,0.5219409500000438,0.017012327320714907
10,1396,11,331626.9375,0.5219409500000438,0.017012327320714907,147142,0,0.5219409500000438,0.017012327320714907
11,946,12,482768.40625,0.521940948000065,0.017012327186480103,147917,0,0.521940948000065,0.017012327186480103
12,696,13,596625.5,0.5219409500000438,0.017012327320714907,167247,0,0.5219409500000438,0.017012327320714907
13,5036,14,1315087.625,0.5219409500000438,0.017012327320714907,159387,0,0.5219409500000438,0.017012327320714907
14,5067,15,1025933.25,0.521940948000065,0.017012327186480103,124721,0,0.521940948000065,0.017012327186480103
15,2028,16,562481.6875,0.5219409500000438,0.017012327320714907,101449,0,0.5219409500000438,0.017012327320714907
16,1350,17,438639.375,0.5219409500000438,0.017012327320714907,102767,0,0.5219409500000438,0.017012327320714907
17,1278,18,128908.5078125,0.521940948000065,0.017012327186480103,20566,0,0.521940948000065,0.017012327186480103
18,305,19,123901.421875,0.5219409520000227,0.01701232744744782,99252,0,0.5219409520000227,0.01701232744744782
19,232,20,359930.0,0.5219409520000227,0.01701232744744782,134930,0,0.5219409520000227,0.01701232744744782
20,242,21,207863.03125,0.5219409500000438,0.017012327313213015,126187,0,0.5219409500000438,0.017012327313213015
21,439,22,727731.5,0.5219409520000227,0.01701232744744782,99393,0,0.5219409520000227,0.01701232744744782
22,15765,23,2481195.5,0.5219409520000227,0.01701232744744782,77900,0,0.5219409520000227,0.01701232744744782
23,6192,24,1437716.0,0.5219409500000438,0.017012327313213015,136270,0,0.5219409500000438,0.017012327313213015
24,4145,25,1013761.5,0.5219409520000227,0.01701232744744782,151035,0,0.5219409520000227,0.01701232744744782
25,4040,26,1267521.0,0.5219409520000227,0.01701232744744782,150319,0,0.5219409520000227,0.01701232744744782
26,384,27,252127.921875,0.5219409500000438,0.017012327313213015,11811,0,0.5219409500000438,0.017012327313213015
27,63,28,28776.97265625,0.521940951999909,0.017012327447440613,74752,0,0.521940951999909,0.017012327447440613
28,3419,29,511253.34375,0.521940951999909,0.017012327447440613,98400,0,0.521940951999909,0.017012327447440613
29,9494,30,1804438.75,0.5219409499999301,0.01701232731320581,102671,0,0.5219409499999301,0.01701232731320581
30,22025,31,2891331.75,0.521940951999909,0.017012327447440613,70946,0,0.521940951999909,0.017012327447440613
31,87529,32,11386245.0,0.521940951999909,0.017012327447440613,5565,0,0.521940951999909,0.017012327447440613
32,64263,33,7157178.5,0.5219409499999301,0.01701232731320581,61064,0,0.5219409499999301,0.01701232731320581
33,25480,34,2579639.5,0.521940951999909,0.017012327447440613,134516,0,0.521940951999909,0.017012327447440613
34,2401,35,434030.125,0.521940951999909,0.017012327447440613,64781,0,0.521940951999909,0.017012327447440613
35,0,36,,0.5219409499999301,0.01701232731320581,0,0,0.5219409499999301,0.01701232731320581
