,Join_Count_x,TARGET_FID,buildingP,Shape_Length_x,Shape_Area_x,grid_code,Count,Shape_Length_y,Shape_Area_y
0,0,1,,0.46974685599991517,0.013779985188827911,119665,0,0.46974685599991517,0.013779985188827911
1,0,2,,0.4697468539999363,0.013779985068016589,105335,0,0.4697468539999363,0.013779985068016589
2,1,3,13369.1923828125,0.4697468539999363,0.013779985068016589,127816,0,0.4697468539999363,0.013779985068016589
3,162,4,171980.046875,0.46974685599991517,0.013779985188827911,117063,0,0.46974685599991517,0.013779985188827911
4,4246,5,965238.3125,0.4697468539999363,0.013779985068016589,54676,0,0.4697468539999363,0.013779985068016589
5,2,6,21689.380859375,0.46974685599991517,0.013779985188827911,3878,0,0.46974685599991517,0.013779985188827911
6,0,7,,0.4697468539999363,0.013779985068016589,0,0,0.4697468539999363,0.013779985068016589
7,0,8,,0.4697468539999363,0.013779985068016589,0,0,0.4697468539999363,0.013779985068016589
8,0,9,,0.46974685599991517,0.013779985188827911,0,0,0.46974685599991517,0.013779985188827911
9,0,10,,0.4697468539999363,0.013779985068016589,0,0,0.4697468539999363,0.013779985068016589
10,0,11,,0.4697468580000077,0.013779985302894017,94446,0,0.4697468580000077,0.013779985302894017
11,1392,12,327346.6875,0.46974685600002886,0.013779985182082692,118349,0,0.46974685600002886,0.013779985182082692
12,949,13,486970.6875,0.46974685600002886,0.013779985182082692,120327,0,0.46974685600002886,0.013779985182082692
13,2,14,212319.21875,0.4697468580000077,0.013779985302894017,134931,0,0.4697468580000077,0.013779985302894017
14,1197,15,939453.8125,0.46974685600002886,0.013779985182082692,132628,0,0.46974685600002886,0.013779985182082692
15,5081,16,892978.0,0.4697468580000077,0.013779985302894017,118652,0,0.4697468580000077,0.013779985302894017
16,1323,17,303305.65625,0.46974685600002886,0.013779985182082692,70544,0,0.46974685600002886,0.013779985182082692
17,1250,18,274081.5,0.46974685600002886,0.013779985182082692,70213,0,0.46974685600002886,0.013779985182082692
18,934,19,314883.1875,0.4697468580000077,0.013779985302894017,55863,0,0.4697468580000077,0.013779985302894017
19,1012,20,79936.7265625,0.46974685600002886,0.013779985182082692,7298,0,0.46974685600002886,0.013779985182082692
20,0,21,,0.46974685600002886,0.013779985188834394,98630,0,0.46974685600002886,0.013779985188834394
21,51,22,275350.84375,0.46974685400005,0.013779985068023071,106299,0,0.46974685400005,0.013779985068023071
22,227,23,141742.3125,0.46974685400005,0.013779985068023071,110896,0,0.46974685400005,0.013779985068023071
23,0,24,,0.46974685600002886,0.013779985188834394,83681,0,0.46974685600002886,0.013779985188834394
24,2637,25,1222094.5,0.46974685400005,0.013779985068023071,106299,0,0.46974685400005,0.013779985068023071
25,9109,26,2196109.0,0.46974685600002886,0.013779985188834394,81195,0,0.46974685600002886,0.013779985188834394
26,1609,27,484539.53125,0.46974685400005,0.013779985068023071,120933,0,0.46974685400005,0.013779985068023071
27,4302,28,1260753.0,0.46974685400005,0.013779985068023071,117743,0,0.46974685400005,0.013779985068023071
28,415,29,241056.6875,0.46974685600002886,0.013779985188834394,134838,0,0.46974685600002886,0.013779985188834394
29,488,30,265529.375,0.46974685400005,0.013779985068023071,8772,0,0.46974685400005,0.013779985068023071
30,368,31,152678.390625,0.469746857999894,0.013779985302887533,59286,0,0.469746857999894,0.013779985302887533
31,3122,32,477819.46875,0.46974685599991517,0.01377998518207621,80363,0,0.46974685599991517,0.01377998518207621
32,3222,33,853950.75,0.46974685599991517,0.01377998518207621,102819,0,0.46974685599991517,0.01377998518207621
33,4463,34,992552.25,0.469746857999894,0.013779985302887533,78304,0,0.469746857999894,0.013779985302887533
34,26178,35,4502713.5,0.46974685599991517,0.01377998518207621,33484,0,0.46974685599991517,0.01377998518207621
35,38840,36,5109535.5,0.469746857999894,0.013779985302887533,35797,0,0.469746857999894,0.013779985302887533
36,18394,37,2094454.625,0.46974685599991517,0.01377998518207621,93800,0,0.46974685599991517,0.01377998518207621
37,5457,38,956759.75,0.46974685599991517,0.01377998518207621,125752,0,0.46974685599991517,0.01377998518207621
38,3415,39,790272.625,0.469746857999894,0.013779985302887533,56094,0,0.469746857999894,0.013779985302887533
39,0,40,,0.46974685599991517,0.01377998518207621,0,0,0.46974685599991517,0.01377998518207621
40,0,41,,0.4697468580000077,0.013779985302894017,65549,0,0.4697468580000077,0.013779985302894017
41,0,42,,0.46974685600002886,0.013779985182082692,76411,0,0.46974685600002886,0.013779985182082692
42,4287,43,1155270.625,0.46974685600002886,0.013779985182082692,105047,0,0.46974685600002886,0.013779985182082692
43,18789,44,1816690.625,0.4697468580000077,0.013779985302894017,73746,0,0.4697468580000077,0.013779985302894017
44,62143,45,7822873.0,0.46974685600002886,0.013779985182082692,10707,0,0.46974685600002886,0.013779985182082692
45,110922,46,16651663.0,0.4697468580000077,0.013779985302894017,1780,0,0.4697468580000077,0.013779985302894017
46,75434,47,6449079.5,0.46974685600002886,0.013779985182082692,24509,0,0.46974685600002886,0.013779985182082692
47,19131,48,2682953.75,0.46974685600002886,0.013779985182082692,85616,0,0.46974685600002886,0.013779985182082692
48,449,49,84376.671875,0.4697468580000077,0.013779985302894017,7402,0,0.4697468580000077,0.013779985302894017
49,0,50,,0.46974685600002886,0.013779985182082692,0,0,0.46974685600002886,0.013779985182082692
50,0,51,,0.46974685600002886,0.013779985188834394,65090,0,0.46974685600002886,0.013779985188834394
51,0,52,,0.46974685400005,0.013779985068023071,41318,0,0.46974685400005,0.013779985068023071
52,5217,53,669877.875,0.46974685400005,0.013779985068023071,82735,0,0.46974685400005,0.013779985068023071
53,23539,54,2085822.25,0.46974685600002886,0.013779985188834394,56345,0,0.46974685600002886,0.013779985188834394
54,30921,55,3104982.75,0.46974685400005,0.013779985068023071,55404,0,0.46974685400005,0.013779985068023071
55,66334,56,8722048.0,0.46974685600002886,0.013779985188834394,8952,0,0.46974685600002886,0.013779985188834394
56,51836,57,4431719.0,0.46974685400005,0.013779985068023071,14694,0,0.46974685400005,0.013779985068023071
57,4054,58,827584.75,0.46974685400005,0.013779985068023071,10104,0,0.46974685400005,0.013779985068023071
58,1,59,38424.05859375,0.46974685600002886,0.013779985188834394,0,0,0.46974685600002886,0.013779985188834394
59,1,60,112214.515625,0.46974685400005,0.013779985068023071,0,0,0.46974685400005,0.013779985068023071
60,0,61,,0.4697468580000077,0.013779985302894017,49068,0,0.4697468580000077,0.013779985302894017
61,0,62,,0.46974685600002886,0.013779985182082692,74617,0,0.46974685600002886,0.013779985182082692
62,2,63,15757.2353515625,0.46974685600002886,0.013779985182082692,85051,0,0.46974685600002886,0.013779985182082692
63,3065,64,842527.0625,0.4697468580000077,0.013779985302894017,96290,0,0.4697468580000077,0.013779985302894017
64,2195,65,590167.3125,0.46974685600002886,0.013779985182082692,41509,0,0.46974685600002886,0.013779985182082692
65,5179,66,997711.625,0.4697468580000077,0.013779985302894017,966,0,0.4697468580000077,0.013779985302894017
66,0,67,,0.46974685600002886,0.013779985182082692,0,0,0.46974685600002886,0.013779985182082692
67,0,68,,0.46974685600002886,0.013779985182082692,18464,0,0.46974685600002886,0.013779985182082692
68,650,69,198531.125,0.4697468580000077,0.013779985302894017,57597,0,0.4697468580000077,0.013779985302894017
69,2,70,,0.46974685600002886,0.013779985182082692,132,0,0.46974685600002886,0.013779985182082692
70,0,71,,0.46974685599991517,0.013779985188827911,106672,0,0.46974685599991517,0.013779985188827911
71,0,72,,0.4697468539999363,0.013779985068016589,128263,0,0.4697468539999363,0.013779985068016589
72,0,73,,0.4697468539999363,0.013779985068016589,130535,0,0.4697468539999363,0.013779985068016589
73,0,74,,0.46974685599991517,0.013779985188827911,61101,0,0.46974685599991517,0.013779985188827911
74,2900,75,260917.75,0.4697468539999363,0.013779985068016589,856,0,0.4697468539999363,0.013779985068016589
75,1208,76,183110.015625,0.46974685599991517,0.013779985188827911,55472,0,0.46974685599991517,0.013779985188827911
76,7,77,241585.1875,0.4697468539999363,0.013779985068016589,106794,0,0.4697468539999363,0.013779985068016589
77,0,78,,0.4697468539999363,0.013779985068016589,99987,0,0.4697468539999363,0.013779985068016589
78,41,79,124095.6484375,0.46974685599991517,0.013779985188827911,52316,0,0.46974685599991517,0.013779985188827911
79,0,80,,0.4697468539999363,0.013779985068016589,848,0,0.4697468539999363,0.013779985068016589
80,0,81,,0.4697468580000077,0.013779985302894017,99416,0,0.4697468580000077,0.013779985302894017
81,0,82,,0.46974685600002886,0.013779985182082692,99355,0,0.46974685600002886,0.013779985182082692
82,0,83,,0.46974685600002886,0.013779985182082692,36441,0,0.46974685600002886,0.013779985182082692
83,131,84,148548.765625,0.4697468580000077,0.013779985302894017,23283,0,0.4697468580000077,0.013779985302894017
84,257,85,127203.3046875,0.46974685600002886,0.013779985182082692,122778,0,0.46974685600002886,0.013779985182082692
85,2422,86,351290.71875,0.4697468580000077,0.013779985302894017,84904,0,0.4697468580000077,0.013779985302894017
86,2,87,60746.015625,0.46974685600002886,0.013779985182082692,28800,0,0.46974685600002886,0.013779985182082692
87,0,88,,0.46974685600002886,0.013779985182082692,47799,0,0.46974685600002886,0.013779985182082692
88,0,89,,0.4697468580000077,0.013779985302894017,83655,0,0.4697468580000077,0.013779985302894017
89,0,90,,0.46974685600002886,0.013779985182082692,13439,0,0.46974685600002886,0.013779985182082692
90,0,91,,0.4697468580000077,0.013779985302894017,630,0,0.4697468580000077,0.013779985302894017
91,0,92,,0.46974685600002886,0.013779985182082692,55481,0,0.46974685600002886,0.013779985182082692
92,0,93,,0.46974685600002886,0.013779985182082692,44156,0,0.46974685600002886,0.013779985182082692
93,1,94,46813.6640625,0.4697468580000077,0.013779985302894017,83582,0,0.4697468580000077,0.013779985302894017
94,0,95,,0.46974685600002886,0.013779985182082692,67065,0,0.46974685600002886,0.013779985182082692
95,0,96,,0.4697468580000077,0.013779985302894017,68301,0,0.4697468580000077,0.013779985302894017
96,0,97,,0.46974685600002886,0.013779985182082692,140583,0,0.46974685600002886,0.013779985182082692
97,0,98,,0.46974685600002886,0.013779985182082692,138030,0,0.46974685600002886,0.013779985182082692
98,0,99,,0.4697468580000077,0.013779985302894017,128849,0,0.4697468580000077,0.013779985302894017
99,0,100,,0.46974685600002886,0.013779985182082692,128,0,0.46974685600002886,0.013779985182082692
